base_addr=0x00002000 byte_count=924
idx addr byte ascii
651 0x0000228b 04 .
652 0x0000228c 06 .
653 0x0000228d 00 .
654 0x0000228e 08 .
655 0x0000228f 00 .
656 0x00002290 00 .
657 0x00002291 00 .
658 0x00002292 00 .
659 0x00002293 00 .
660 0x00002294 00 .
661 0x00002295 00 .
662 0x00002296 24 $
663 0x00002297 1e .
664 0x00002298 01 .
665 0x00002299 00 .
666 0x0000229a 00 .
667 0x0000229b 00 .
668 0x0000229c 01 .
669 0x0000229d 01 .
670 0x0000229e 06 .
671 0x0000229f 04 .
672 0x000022a0 06 .
673 0x000022a1 00 .
674 0x000022a2 08 .
675 0x000022a3 00 .
676 0x000022a4 00 .
677 0x000022a5 00 .
678 0x000022a6 00 .
679 0x000022a7 00 .
680 0x000022a8 00 .
681 0x000022a9 00 .
682 0x000022aa db .
683 0x000022ab 79 y
684 0x000022ac 01 .
685 0x000022ad 00 .
686 0x000022ae 00 .
687 0x000022af 00 .
688 0x000022b0 04 .
689 0x000022b1 07 .
690 0x000022b2 04 .
691 0x000022b3 04 .
692 0x000022b4 06 .
693 0x000022b5 00 .
694 0x000022b6 08 .
695 0x000022b7 00 .
696 0x000022b8 00 .
697 0x000022b9 00 .
698 0x000022ba 00 .
699 0x000022bb 00 .
700 0x000022bc 00 .
701 0x000022bd 00 .
702 0x000022be 01 .
703 0x000022bf f2 .
704 0x000022c0 01 .
705 0x000022c1 00 .
706 0x000022c2 00 .
707 0x000022c3 00 .
708 0x000022c4 07 .
709 0x000022c5 07 .
710 0x000022c6 01 .
711 0x000022c7 01 .
712 0x000022c8 01 .
713 0x000022c9 00 .
714 0x000022ca 06 .
715 0x000022cb 00 .
716 0x000022cc f4 .
717 0x000022cd 03 .
718 0x000022ce 2c ,
719 0x000022cf a1 .
720 0x000022d0 07 .
721 0x000022d1 00 .
722 0x000022d2 b2 .
723 0x000022d3 dc .
724 0x000022d4 01 .
725 0x000022d5 00 .
726 0x000022d6 00 .
727 0x000022d7 00 .
728 0x000022d8 06 .
729 0x000022d9 07 .
730 0x000022da 03 .
731 0x000022db 03 .
732 0x000022dc 04 .
733 0x000022dd 00 .
734 0x000022de 06 .
735 0x000022df 00 .
736 0x000022e0 16 .
737 0x000022e1 04 .
738 0x000022e2 4e N
739 0x000022e3 a1 .
740 0x000022e4 07 .
741 0x000022e5 00 .
742 0x000022e6 08 .
743 0x000022e7 1f .
744 0x000022e8 02 .
745 0x000022e9 00 .
746 0x000022ea 00 .
747 0x000022eb 00 .
748 0x000022ec 04 .
749 0x000022ed 06 .
750 0x000022ee 01 .
751 0x000022ef 01 .
752 0x000022f0 01 .
753 0x000022f1 01 .
754 0x000022f2 06 .
755 0x000022f3 00 .
756 0x000022f4 ee .
757 0x000022f5 03 .
758 0x000022f6 26 &
759 0x000022f7 a1 .
760 0x000022f8 07 .
761 0x000022f9 00 .
762 0x000022fa 63 c
763 0x000022fb 61 a
764 0x000022fc 02 .
765 0x000022fd 00 .
766 0x000022fe 00 .
767 0x000022ff 00 .
768 0x00002300 06 .
769 0x00002301 05 .
770 0x00002302 03 .
771 0x00002303 03 .
772 0x00002304 03 .
773 0x00002305 00 .
774 0x00002306 06 .
775 0x00002307 00 .
776 0x00002308 f9 .
777 0x00002309 03 .
778 0x0000230a 31 1
779 0x0000230b a1 .
780 0x0000230c 07 .
781 0x0000230d 00 .
782 0x0000230e 98 .
783 0x0000230f 26 &
784 0x00002310 02 .
785 0x00002311 00 .
786 0x00002312 00 .
787 0x00002313 00 .
788 0x00002314 07 .
789 0x00002315 04 .
790 0x00002316 06 .
791 0x00002317 04 .
792 0x00002318 05 .
793 0x00002319 00 .
794 0x0000231a 08 .
795 0x0000231b 00 .
796 0x0000231c 00 .
797 0x0000231d 00 .
798 0x0000231e 00 .
799 0x0000231f 00 .
800 0x00002320 00 .
801 0x00002321 00 .
802 0x00002322 8e .
803 0x00002323 07 .
804 0x00002324 01 .
805 0x00002325 00 .
806 0x00002326 00 .
807 0x00002327 00 .
808 0x00002328 07 .
809 0x00002329 04 .
810 0x0000232a 04 .
811 0x0000232b 04 .
812 0x0000232c 08 .
813 0x0000232d 00 .
814 0x0000232e 08 .
815 0x0000232f 00 .
816 0x00002330 00 .
817 0x00002331 00 .
818 0x00002332 00 .
819 0x00002333 00 .
820 0x00002334 00 .
821 0x00002335 00 .
822 0x00002336 a5 .
823 0x00002337 f8 .
824 0x00002338 02 .
825 0x00002339 00 .
826 0x0000233a 00 .
827 0x0000233b 00 .
828 0x0000233c 02 .
829 0x0000233d 04 .
830 0x0000233e 03 .
831 0x0000233f 03 .
832 0x00002340 04 .
833 0x00002341 01 .
834 0x00002342 06 .
835 0x00002343 00 .
836 0x00002344 eb .
837 0x00002345 03 .
838 0x00002346 23 #
839 0x00002347 a1 .
840 0x00002348 07 .
841 0x00002349 00 .
842 0x0000234a 1a .
843 0x0000234b 01 .
844 0x0000234c 02 .
845 0x0000234d 00 .
846 0x0000234e 00 .
847 0x0000234f 00 .
848 0x00002350 05 .
849 0x00002351 04 .
850 0x00002352 01 .
851 0x00002353 01 .
852 0x00002354 09 .
853 0x00002355 02 .
854 0x00002356 06 .
855 0x00002357 00 .
856 0x00002358 fa .
857 0x00002359 03 .
858 0x0000235a 32 2
859 0x0000235b a1 .
860 0x0000235c 07 .
861 0x0000235d 00 .
862 0x0000235e 41 A
863 0x0000235f 4f O
864 0x00002360 01 .
865 0x00002361 00 .
866 0x00002362 00 .
867 0x00002363 00 .
868 0x00002364 05 .
869 0x00002365 05 .
870 0x00002366 08 .
871 0x00002367 05 .
872 0x00002368 0a .
873 0x00002369 00 .
874 0x0000236a 08 .
875 0x0000236b 00 .
876 0x0000236c 00 .
877 0x0000236d 00 .
878 0x0000236e 00 .
879 0x0000236f 00 .
880 0x00002370 00 .
881 0x00002371 00 .
882 0x00002372 90 .
883 0x00002373 a0 .
884 0x00002374 01 .
885 0x00002375 00 .
886 0x00002376 00 .
887 0x00002377 00 .
888 0x00002378 01 .
889 0x00002379 02 .
890 0x0000237a 03 .
891 0x0000237b 03 .
892 0x0000237c 04 .
893 0x0000237d 00 .
894 0x0000237e 06 .
895 0x0000237f 00 .
896 0x00002380 22 "
897 0x00002381 04 .
898 0x00002382 5a Z
899 0x00002383 a1 .
900 0x00002384 07 .
901 0x00002385 00 .
902 0x00002386 04 .
903 0x00002387 29 )
904 0x00002388 05 .
905 0x00002389 00 .
906 0x0000238a 00 .
907 0x0000238b 00 .
908 0x0000238c 02 .
909 0x0000238d 01 .
910 0x0000238e 02 .
911 0x0000238f 02 .
912 0x00002390 02 .
913 0x00002391 01 .
914 0x00002392 06 .
915 0x00002393 00 .
916 0x00002394 13 .
917 0x00002395 04 .
918 0x00002396 4b K
919 0x00002397 a1 .
920 0x00002398 07 .
921 0x00002399 00 .
922 0x0000239a 61 a
923 0x0000239b 3d =
