base_addr=0x00002000 byte_count=1984
idx addr byte ascii
474 0x000021da 65 e
475 0x000021db 03 .
476 0x000021dc c1 .
477 0x000021dd 44 D
478 0x000021de 81 .
479 0x000021df 78 x
480 0x000021e0 80 .
481 0x000021e1 04 .
482 0x000021e2 98 .
483 0x000021e3 22 "
484 0x000021e4 53 S
485 0x000021e5 6a j
486 0x000021e6 88 .
487 0x000021e7 4d M
488 0x000021e8 b9 .
489 0x000021e9 29 )
490 0x000021ea 38 8
491 0x000021eb 23 #
492 0x000021ec 67 g
493 0x000021ed f0 .
494 0x000021ee ef .
495 0x000021ef 78 x
496 0x000021f0 f4 .
497 0x000021f1 01 .
498 0x000021f2 39 9
499 0x000021f3 d3 .
500 0x000021f4 05 .
501 0x000021f5 b2 .
502 0x000021f6 d3 .
503 0x000021f7 40 @
504 0x000021f8 f0 .
505 0x000021f9 50 P
506 0x000021fa 18 .
507 0x000021fb 20  
508 0x000021fc 21 !
509 0x000021fd a6 .
510 0x000021fe d0 .
511 0x000021ff 78 x
512 0x00002200 14 .
513 0x00002201 1b .
514 0x00002202 72 r
515 0x00002203 33 3
516 0x00002204 72 r
517 0x00002205 06 .
518 0x00002206 fa .
519 0x00002207 b3 .
520 0x00002208 02 .
521 0x00002209 6d m
522 0x0000220a 36 6
523 0x0000220b a0 .
524 0x0000220c 2f /
525 0x0000220d 3b ;
526 0x0000220e 04 .
527 0x0000220f 78 x
528 0x00002210 0f .
529 0x00002211 85 .
530 0x00002212 01 .
531 0x00002213 12 .
532 0x00002214 66 f
533 0x00002215 4a J
534 0x00002216 4d M
535 0x00002217 b9 .
536 0x00002218 19 .
537 0x00002219 38 8
538 0x0000221a 24 $
539 0x0000221b 67 g
540 0x0000221c 40 @
541 0x0000221d 97 .
542 0x0000221e 1d .
543 0x0000221f 78 x
544 0x00002220 d0 .
545 0x00002221 9f .
546 0x00002222 15 .
547 0x00002223 e8 .
548 0x00002224 cb .
549 0x00002225 46 F
550 0x00002226 30 0
551 0x00002227 51 Q
552 0x00002228 20  
553 0x00002229 20  
554 0x0000222a 01 .
